# coordinate	name	kind	language	homepage	stars	updated	description
# Generated by "vise sync" from the Mason registry, mise registry and GitHub.
# Do not hand-edit; edits are lost on sync. Use catalog-overrides.tsv instead.
checkmake	checkmake	linter	makefile	https://github.com/mrtazz/checkmake	1209	2026-07-20	checkmake is an experimental tool for linting and checking Makefiles. It may not do what you want it to.
checkstyle	checkstyle	linter	java	https://checkstyle.org/	-	-	A tool for checking Java source code for adherence to a Code Standard or set of validation rules (best practices).
github:CircleCI-Public/circleci-yaml-language-server	circleci-yaml-language-server	lsp	yaml	https://github.com/CircleCI-Public/circleci-yaml-language-server	28	2026-07-14	Language server for CircleCI YAML configurations
cargo:circom-lsp	circom-lsp	lsp	circom	https://github.com/rubydusa/circom-lsp	33	2023-06-03	A Language Server Protocol Implementation for Circom
pipx:clang-format	clang-format	formatter	c,cpp	https://pypi.org/project/clang-format/	-	-	clang-format is formatter for C/C++/Java/JavaScript/JSON/Objective-C/Protobuf/C# code.
pipx:clang-tidy	clang-tidy	linter	c,cpp	-	-	-	-
github:clangd/clangd	clangd	lsp	c,cpp	https://clangd.llvm.org	-	-	clangd understands your C++ code and adds smart features to your editor: code completion, compile errors, go-to-definition and more.
github:hirosystems/clarinet	clarinet	lsp	clarity	https://github.com/hirosystems/clarinet	352	2026-08-01	Clarinet is a simple, modern and opinionated runtime for testing, integrating and deploying Clarity smart contracts.
clj-kondo	clj-kondo	linter	clojure,clojurescript	https://github.com/clj-kondo/clj-kondo	1848	2026-08-02	Clj-kondo performs static analysis on Clojure, ClojureScript and EDN, without the need of a running REPL. It informs you about potential errors while you are typing.
github:weavejester/cljfmt	cljfmt	formatter	clojure,clojurescript	https://github.com/weavejester/cljfmt	1222	2026-07-26	A tool for formatting Clojure code
github:clojure-lsp/clojure-lsp	clojure-lsp	lsp	clojure,clojurescript	https://clojure-lsp.io	-	-	A Language Server for Clojure(script). Taking a Cursive-like approach of statically analyzing code.
pipx:cmake-language-server	cmake-language-server	lsp	cmake	https://github.com/regen100/cmake-language-server	408	2025-02-11	CMake LSP Implementation.
pipx:cmakelang	cmakelang	formatter,linter	cmake	https://pypi.org/project/cmakelang/	-	-	Language tools for cmake (format, lint, etc).
pipx:cmakelint	cmakelint	linter	cmake	https://github.com/cmake-lint/cmake-lint	107	2024-05-12	cmakelint parses CMake files and reports style issues.
github:eclipse-che4z/che-che4z-lsp-for-cobol	cobol-language-support	lsp	cobol	https://github.com/eclipse-che4z/che-che4z-lsp-for-cobol	115	2026-07-31	COBOL Language Support provides autocomplete, highlighting and diagnostics for COBOL code and copybooks
github:blopker/codebook	codebook	lsp	c,css,go,html,haskell,java,javascript,lua,markdown,php,plain,python,ruby,rust,toml,typescript	https://github.com/blopker/codebook	857	2026-08-02	An unholy spell checker for code.
codeql	codeql	lsp	codeql	https://github.com/github/codeql-cli-binaries	997	2026-07-29	Discover vulnerabilities across a codebase with CodeQL, our industry-leading semantic code analysis engine. CodeQL lets you query code as though it were data. Write a query to find all variants of a vulnerability, eradicating it forever. Then share your query to help others do the same.
pipx:codespell	codespell	linter	any	https://github.com/codespell-project/codespell	2407	2026-07-31	Check code for common misspellings.
npm:coffeesense-language-server	coffeesense-language-server	lsp	coffeescript	https://github.com/phil294/coffeesense	53	2025-06-08	Language server for CoffeeScript.
npm:@commitlint/cli	commitlint	linter	any	https://commitlint.js.org/	-	-	commitlint checks if your commit messages meet the conventional commit format.
github:dev-cycles/contextive	contextive	lsp	f#	https://github.com/dev-cycles/contextive	363	2026-04-16	Supports developers where a complex domain or project specific language is in use by surfacing definitions everywhere specific words are used - code, comments, config or documentation.
npm:@github/copilot-language-server	copilot-language-server	lsp	any	https://www.npmjs.com/package/@github/copilot-language-server	-	-	The Copilot Language Server enables any editor or IDE to integrate with GitHub Copilot via the language server protocol.
unavailable:coq-lsp	coq-lsp	lsp	coq	https://github.com/ejgallego/coq-lsp/	208	2026-07-27	Visual Studio Code Extension and Language Server Protocol for coq
pipx:cpplint	cpplint	linter	c,c++	https://pypi.org/project/cpplint/	-	-	Cpplint is a command-line tool to check C/C++ files for style issues following Google's C++ style guide.
unavailable:cql-language-server	cql-language-server	lsp	cql	https://github.com/cqframework/cql-language-server	2	2026-07-08	A language server for Clinical Quality Language (CQL).
cargo:cqlls	cqlls	lsp	cql	https://github.com/Akzestia/cqlls	6	2026-05-30	The Best Open Source Language Server for CQL (Cassandra Query Language) ^_^
go:github.com/cockroachdb/crlfmt	crlfmt	formatter	go	https://github.com/cockroachdb/crlfmt	20	2026-07-21	Formatter for Go code that enforces the CockroachDB Style Guide.
github:elbywan/crystalline	crystalline	lsp	crystal	https://github.com/elbywan/crystalline	518	2026-05-31	A Language Server Protocol implementation for Crystal.
dotnet:csharp-ls	csharp-language-server	lsp	c#	https://github.com/razzmatazz/csharp-language-server	960	2026-07-25	Roslyn-based LSP language server for C#.
dotnet:csharp-ls	csharp-ls	lsp	csharp	-	-	-	-
dotnet:csharpier	csharpier	formatter	c#	https://csharpier.com	-	-	CSharpier is an opinionated code formatter for C#.
cspell	cspell	linter	any	https://github.com/streetsidesoftware/cspell	1663	2026-08-02	A Spell Checker for Code.
npm:@vlabo/cspell-lsp	cspell-lsp	lsp	any	https://github.com/vlabo/cspell-lsp	76	2025-10-30	Language Server Protocol implementation for CSpell, a spell checker for code.
npm:vscode-langservers-extracted	css-lsp	lsp	css,scss,less	https://github.com/microsoft/vscode-css-languageservice	384	2026-08-01	Language Server Protocol implementation for CSS, SCSS & LESS.
npm:css-variables-language-server	css-variables-language-server	lsp	css,scss,less	https://github.com/vunguyentuan/vscode-css-variables	195	2026-03-10	Autocompletion and go-to-definition for project-wide CSS variables.
github:csskit/csskit	csskit	lsp,formatter,linter	css	https://csskit.rs	-	-	Beautiful, fast, and powerful CSS tooling with zero configuration
npm:cssmodules-language-server	cssmodules-language-server	lsp	css	https://github.com/antonk52/cssmodules-language-server	90	2025-11-08	Autocompletion and go-to-definition for cssmodules.
github:netmute/ctags-lsp	ctags-lsp	lsp	any	https://github.com/netmute/ctags-lsp	148	2026-04-11	A simple LSP server wrapping universal-ctags. Provides code completion, go-to-definition, and document/workspace symbols.
npm:@cucumber/language-server	cucumber-language-server	lsp	cucumber	https://github.com/cucumber/language-server	54	2026-08-02	Cucumber Language Server.
cue	cue	lsp	cue	https://github.com/cue-lang/cue	6214	2026-08-02	The Official Language Server implementation for CUE.
go:github.com/asdine/cueimports	cueimports	formatter	cue	https://github.com/asdine/cueimports	24	2025-02-10	CUE tool that updates your import lines, adding missing ones and removing unused ones.
go:github.com/dagger/cuelsp	cuelsp	lsp	cue	https://github.com/dagger/cuelsp	87	2022-08-19	Language Server implementation for CUE, with built-in support for Dagger.
pipx:curlylint	curlylint	linter	django,jinja,liquid,nunjucks,twig	https://www.curlylint.org/	-	-	Experimental HTML templates linting for Jinja, Nunjucks, Django templates, Twig, Liquid.
npm:custom-elements-languageserver	custom-elements-languageserver	lsp	any	https://github.com/Matsuuu/custom-elements-language-server	92	2023-11-21	Custom Elements Language Server provides useful language features for Web Components. Features include code actions, completons, diagnostics and more.
npm:@neo4j-cypher/language-server	cypher-language-server	lsp	cypher	https://github.com/neo4j/cypher-language-support	51	2026-07-31	Language Server for Cypher query language.
pipx:darker	darker	formatter	python	https://pypi.org/project/darker/	-	-	Apply black reformatting to Python files only in regions changed since a given commit.
github:CQLabs/homebrew-dcm	dcm	lsp,formatter,linter	dart	https://dcm.dev/	-	-	Language server for DCM analyzer
deno	deno	lsp,linter	javascript,typescript	https://deno.land/	-	-	Deno (/ˈdiːnoʊ/, pronounced dee-no) is a JavaScript, TypeScript, and WebAssembly runtime with secure defaults and a great developer experience.
github:detekt/detekt	detekt	linter	kotlin	https://detekt.dev/	-	-	A static code analyzer for Kotlin.
github:remoteoss/dexter	dexter	lsp	elixir	https://github.com/remoteoss/dexter	369	2026-07-10	A fast, full-featured Elixir LSP optimized for large codebases.
github:dhall-lang/dhall-haskell	dhall-lsp	lsp	dhall	https://github.com/dhall-lang/dhall-haskell/tree/master/dhall-lsp-server	-	-	LSP server implementation for Dhall.
npm:diagnostic-languageserver	diagnostic-languageserver	lsp	any	https://github.com/iamcco/diagnostic-languageserver	437	2024-08-30	Diagnostic language server that integrates with linters.
unavailable:digestif	digestif	lsp	latex	https://github.com/astoff/digestif	308	2025-12-02	A language server for TeX and friends
go:github.com/MadAppGang/dingo/cmd/dingo	dingo	formatter,linter	dingo,go	https://github.com/MadAppGang/dingo	1907	2026-07-12	Dingo is a meta-language for Go that adds enhanced type safety and modern syntax (enums, pattern matching, error propagation, lambdas) while transpiling to idiomatic Go code. The CLI provides build, run, format, and lint commands.
go:github.com/MadAppGang/dingo/cmd/dingo-lsp	dingo-lsp	lsp	dingo	https://github.com/MadAppGang/dingo	1907	2026-07-12	Language Server Protocol implementation for Dingo. Wraps gopls and translates positions between .dingo and .go files using source maps, providing full IDE support including go-to-definition, hover, completion, diagnostics, and rename refactoring.
pipx:django-language-server	django-language-server	lsp	python	https://github.com/joshuadavidthomas/django-language-server	197	2026-07-31	A language server for the Django web framework
pipx:django-template-lsp	django-template-lsp	lsp	python,django,html	https://github.com/fourdigits/django-template-lsp	126	2026-04-02	A language server for Django templates.
pipx:djlint	djlint	formatter,linter	django,go,nunjucks,twig,handlebars,mustache,angular,jinja	https://github.com/Riverside-Healthcare/djLint	943	2026-08-02	HTML Template Linter and Formatter. Django - Jinja - Nunjucks - Handlebars - GoLang.
pipx:docformatter	docformatter	formatter	python	https://pypi.org/project/docformatter/	-	-	docformatter automatically formats docstrings to follow a subset of the PEP 257 conventions.
npm:@microsoft/compose-language-service	docker-compose-language-service	lsp	docker	https://github.com/microsoft/compose-language-service	113	2026-07-20	A language server for Docker Compose.
github:docker/docker-language-server	docker-language-server	lsp	docker	https://github.com/docker/docker-language-server	181	2026-06-22	Language server for Dockerfiles, Compose files, and Bake files.
npm:dockerfile-language-server-nodejs	dockerfile-language-server	lsp	docker	https://github.com/rcjsuen/dockerfile-language-server-nodejs	474	2025-10-15	A language server for Dockerfiles powered by Node.js, TypeScript, and VSCode technologies.
go:github.com/reteps/dockerfmt	dockerfmt	formatter	dockerfile	https://github.com/reteps/dockerfmt	609	2026-06-27	An opinionated Dockerfile formatter.
npm:doctoc	doctoc	formatter	markdown	https://github.com/thlorenz/doctoc	4458	2026-07-27	API and CLI for generating a markdown TOC (table of contents) for a README or any markdown files.
npm:dot-language-server	dot-language-server	lsp	dot	https://github.com/nikeee/dot-language-server	52	2026-08-01	A language server for the DOT language.
dotenv-linter	dotenv-linter	linter	dotenv	https://dotenv-linter.github.io/#/	-	-	⚡️Lightning-fast linter for .env files. Written in Rust 🦀
dprint	dprint	formatter,lsp	any	https://dprint.dev/	-	-	A pluggable and configurable code formatting platform written in Rust.
github:kiegroup/drools-lsp	drools-lsp	lsp	drools	https://github.com/kiegroup/drools-lsp	15	2026-07-25	An implementation of a language server for the Drools Rule Language.
unavailable:duster	duster	formatter,linter	php,blade	https://github.com/tighten/duster	600	2026-07-21	Automatic configuration for Laravel apps to apply Tighten's standard linting & code standards.
github:glehmann/earthlyls	earthlyls	lsp	earthly	https://github.com/glehmann/earthlyls	22	2026-07-27	A fast language server for earthly.
unavailable:easy-coding-standard	easy-coding-standard	formatter,linter	php	https://github.com/easy-coding-standard/easy-coding-standard	1619	2026-07-22	Use Coding Standard with 0-knowledge of PHP-CS-Fixer and PHP_CodeSniffer.
editorconfig-checker	editorconfig-checker	linter	any	https://github.com/editorconfig-checker/editorconfig-checker	632	2026-07-31	A tool to verify that your files are in harmony with your `.editorconfig`.
github:mattn/efm-langserver	efm	lsp	any	https://github.com/mattn/efm-langserver	1551	2026-07-08	General purpose Language Server.
elixir-ls	elixir-ls	lsp	elixir	https://github.com/elixir-lsp/elixir-ls	1769	2026-07-06	A frontend-independent IDE "smartness" server for Elixir. Implements the "Language Server Protocol" standard and provides debugger support via the "Debug Adapter Protocol".
npm:elm-format	elm-format	formatter	elm	https://github.com/avh4/elm-format	1333	2025-06-19	elm-format formats Elm source code according to a standard set of rules based on the official Elm Style Guide
npm:@elm-tooling/elm-language-server	elm-language-server	lsp	elm	https://github.com/elm-tooling/elm-language-server	444	2026-07-27	Language server implementation for Elm.
github:WhatsApp/erlang-language-platform	elp	lsp	erlang	https://github.com/WhatsApp/erlang-language-platform	416	2026-08-02	ELP integrates Erlang into modern IDEs via the language server protocol.
npm:@ember-tooling/ember-language-server	ember-language-server	lsp	ember	https://github.com/ember-tooling/ember-language-server	107	2026-08-01	Language Server Protocol implementation for Ember.js and Glimmer projects.
npm:@olrtg/emmet-language-server	emmet-language-server	lsp	emmet	https://github.com/olrtg/emmet-language-server	460	2026-01-24	A language server for emmet.io.
npm:emmet-ls	emmet-ls	lsp	emmet	https://github.com/aca/emmet-ls	404	2024-07-08	Emmet support based on LSP.
github:CppCXY/emmylua-analyzer-rust	emmylua_ls	lsp	lua	https://github.com/CppCXY/emmylua-analyzer-rust/tree/main/crates/emmylua_ls	-	-	The language server for Lua, offering extensive features for different Lua versions.
github:CppCXY/EmmyLuaCodeStyle	emmylua-codeformat	formatter	lua	https://github.com/CppCXY/EmmyLuaCodeStyle	170	2026-07-13	Fast, powerful, and feature-rich Lua formatting and checking tool.  This tool is already bundled with lua_ls, so you don’t need it if you’re using lua_ls.
gem:erb-formatter	erb-formatter	formatter	html,ruby	https://github.com/nebulab/erb-formatter	196	2025-06-19	Format ERB files with speed and precision.
gem:erb_lint	erb-lint	linter	html,ruby	https://github.com/Shopify/erb-lint	747	2026-04-20	erb-lint is a tool to help lint your ERB or HTML files using the included linters or by writing your own.
github:erg-lang/erg	erg	lsp	erg	https://github.com/erg-lang/erg	2860	2025-12-04	A statically typed language that can deeply improve the Python ecosystem.
github:erg-lang/erg-language-server	erg-language-server	lsp	erg	https://github.com/erg-lang/erg-language-server	9	2023-01-03	ELS is a language server for the Erg programing language.
github:erlang-ls/erlang_ls	erlang-ls	lsp	erlang	https://erlang-ls.github.io/	-	-	Erlang LS is a language server providing language features for the Erlang programming language. The server works with Emacs, VSCode, Sublime Text 3, Vim and probably many more text editors and IDE which adhere to the LSP protocol.
pipx:esbonio	esbonio	lsp	sphinx	https://pypi.org/project/esbonio/	-	-	A Language Server for Sphinx projects.
npm:eslint	eslint	linter	javascript,typescript	-	-	-	-
npm:eslint_d	eslint_d	linter	typescript,javascript	https://github.com/mantoni/eslint_d.js/	1218	2026-07-31	Makes eslint the fastest linter on the planet.
github:kaaveland/eugene	eugene	linter	sql	https://github.com/kaaveland/eugene	58	2026-03-11	Helps you write zero downtime schema migrations for postgres.
expert	expert	lsp	elixir	https://github.com/elixir-lang/expert	2029	2026-07-31	Expert is the official language server implementation for the Elixir programming language.
github:FacilityApi/FacilityLanguageServer	facility-language-server	lsp	facility service definition	https://facilityapi.github.io/	-	-	Facility Service Definition language. This version of Facility Service Definition requires dotnet (.NET 6.0) to be installed.
dotnet:fantomas	fantomas	formatter	f#	https://fsprojects.github.io/fantomas	-	-	Fantomas is an opinionated code formatter for F#.
cargo:fennel-language-server	fennel-language-server	lsp	fennel	https://github.com/rydesun/fennel-language-server	132	2023-08-28	Fennel language server protocol (LSP) support.
unavailable:fennel-ls	fennel-ls	lsp	fennel	https://git.sr.ht/~xerool/fennel-ls	-	-	Language Server for Fennel
pipx:findent	findent	formatter	fortran	https://pypi.org/project/findent/	-	-	findent indents/beautifies/converts and can optionally generate the dependencies of Fortran sources.
npm:fish-lsp	fish-lsp	lsp	fish	https://github.com/ndonfris/fish-lsp	316	2026-07-27	LSP implementation for the fish shell language
npm:fixjson	fixjson	formatter	json	https://github.com/rhysd/fixjson	163	2023-10-17	A JSON file fixer/formatter for humans using (relaxed) JSON5.
pipx:flake8	flake8	linter	python	https://github.com/PyCQA/flake8	3809	2026-07-14	flake8 is a python tool that glues together pycodestyle, pyflakes, mccabe, and third-party plugins to check the style and quality of some Python code.
pipx:flakeheaven	flakeheaven	linter	python	https://github.com/flakeheaven/flakeheaven	165	2023-04-10	flakeheaven is a python linter built around flake8 to enable inheritable and complex toml configuration.
cargo:flux-lsp	flux-lsp	lsp	flux	https://github.com/influxdata/flux-lsp	30	2025-04-17	Implementation of Language Server Protocol for the Flux language.
npm:foam-language-server	foam-language-server	lsp	openfoam	https://github.com/FoamScience/foam-language-server	33	2026-07-26	A language server for OpenFOAM case files.
github:PlasmaFAIR/fortitude	fortitude	linter	fortran	https://github.com/PlasmaFAIR/fortitude	211	2026-07-31	Fortran linter, written in Rust.
pipx:fortls	fortls	lsp	fortran	https://github.com/gnikit/fortls	338	2026-07-13	fortls - Fortran Language Server.
github:fourmolu/fourmolu	fourmolu	formatter	haskell	https://hackage.haskell.org/package/fourmolu	-	-	A fork of Ormolu that uses four space indentation and allows arbitrary configuration.
pipx:fprettify	fprettify	formatter	fortran	https://pypi.org/project/fprettify	-	-	fprettify is an auto-formatter for modern Fortran code that imposes strict whitespace formatting, written in Python.
dotnet:fsautocomplete	fsautocomplete	lsp	f#	https://github.com/fsharp/FsAutoComplete	487	2026-07-29	F# language server using Language Server Protocol.
go:github.com/daixiang0/gci	gci	formatter	go	https://pkg.go.dev/github.com/daixiang0/gci	-	-	GCI, a tool that control golang package import order and make it always deterministic.
github:GDQuest/GDScript-formatter	gdscript-formatter	formatter	gdscript	https://www.gdquest.com/library/gdscript_formatter	-	-	A faster code formatter for GDScript and Godot 4.
pipx:gdtoolkit	gdtoolkit	linter,formatter	gdscript	https://github.com/Scony/godot-gdscript-toolkit	1584	2025-10-09	A set of tools for daily work with GDScript.
pipx:gersemi	gersemi	formatter	cmake	https://github.com/BlankSpruce/gersemi	339	2026-07-21	gersemi - A formatter to make your CMake code the real treasure.
npm:@actions/languageserver	gh-actions-language-server	lsp	yaml	https://github.com/actions/languageservices	190	2026-07-30	GitHub Actions Language Server
github:Schottkyc137/ginko	ginko_ls	lsp	dts	https://github.com/Schottkyc137/ginko	26	2024-11-12	ginko_ls is meant to be a feature-complete language server for device-trees. Language servers can be used in many editors, such as Visual Studio Code, Emacs or Vim
cargo:gitlab-ci-ls	gitlab-ci-ls	lsp	yaml	https://github.com/alesbrelih/gitlab-ci-ls	144	2026-07-27	An experimental language server for Gitlab CI.
gitleaks	gitleaks	linter	any	https://github.com/gitleaks/gitleaks	28447	2026-07-29	Gitleaks helps you protect and discover secrets in git repositories.
pipx:gitlint	gitlint	linter	any	https://jorisroovers.com/gitlint/	-	-	Gitlint is a git commit message linter written in Python: it checks your commit messages for style.
